Core,filename,position_mm,core_depth_cm,depth_cm,Group,Guano_Zone,Guano_sum,min,max,median,mean,mean_2s_range,sed_rate,surface,validity,Egain,Eoffset,Fslope,Foffset,kcps,MSE,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,As,Se,Br,Rb,Sr,Y,Zr,Sn,Cs,Ba,Ta,W,Ir,Pt,Au,Hg,Pb,Th,U,D1,S1,S2,S3,Mo_inc,Mo_coh
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000025.spe,5.01,0.42,0.42,Unit 8,YAN FW,1,0.69,22.69,9.79,10.11,11,0.006349206,6.58,1,0.018351,-0.011556,0.00758,0.106728,30050.49219,1.5,0,6,61,10,31,0,115,476,2779,0,2605,185,74,924,133164,47,0,357,223,89,26,6,25,292,1890,29,669,0,0,24,235,738,117,262,134,100,39,0,42,944,805,0,0,14191,5028
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000026.spe,5.21,0.44,0.44,Unit 8,YAN FW,1,3.48,26.42,12.93,13.26,11.47,0.006349206,6.59,1,0.018351,-0.011556,0.00758,0.106728,30250.67969,1.36,8,0,66,0,0,0,109,509,2844,0,2732,147,62,875,134005,72,0,269,117,0,0,0,0,378,2086,0,621,0,0,0,271,717,111,225,154,171,241,17,84,912,831,0,0,14388,4984
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000027.spe,5.41,0.46,0.46,Unit 8,YAN FW,1,6.23,30.16,16.06,16.41,11.965,0.006349206,6.59,1,0.018351,-0.011556,0.00758,0.106728,30179.08398,1.37,22,11,54,13,48,6,136,541,3024,0,2978,162,122,959,133746,137,0,209,164,50,0,0,89,402,2043,0,612,0,0,0,325,724,47,226,195,65,134,71,31,899,781,16,1.02E+15,14170,4902
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000028.spe,5.61,0.48,0.48,Unit 8,YAN FW,1,9.02,33.89,19.19,19.56,12.435,0.006349206,6.6,1,0.018351,-0.011556,0.00758,0.106728,30543.96289,1.56,11,9,96,23,48,18,139,573,3073,0,2931,200,126,985,137978,218,0,265,223,119,0,0,0,419,1938,0,715,0,0,7,267,738,99,212,90,210,196,0,27,934,667,0,1.34E+15,13627,4935
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000029.spe,5.81,0.5,0.5,Unit 8,YAN FW,1,11.82,37.62,22.33,22.71,12.9,0.006349206,6.6,1,0.018351,-0.011556,0.00758,0.106728,30361.875,1.47,7,0,98,0,53,14,113,510,3055,0,2860,149,72,996,137439,35,0,215,135,50,0,128,0,321,2077,0,676,0,0,0,387,704,51,173,79,151,204,78,109,886,770,12,8.05E+14,14219,5050
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000030.spe,6.01,0.52,0.52,Unit 8,YAN FW,1,14.59,41.36,25.45,25.86,13.385,0.006369427,6.61,1,0.018351,-0.011556,0.00758,0.106728,30036.49219,1.35,0,7,74,5,41,12,108,531,3329,0,2984,197,105,950,133312,0,0,187,261,107,0,54,0,405,1995,0,687,6,0,19,339,680,74,226,125,242,218,57,148,889,743,14,0,14099,5063
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000031.spe,6.21,0.54,0.54,Unit 8,YAN FW,1,17.39,45.06,28.57,29,13.835,0.006349206,6.61,1,0.018351,-0.011556,0.00758,0.106728,30092.99023,1.46,0,0,76,10,22,11,157,515,3188,0,2752,137,103,889,135003,246,0,305,223,46,0,11,0,351,1939,0,672,8,0,0,293,699,130,286,117,243,161,0,78,836,644,0,0,13716,4911
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000032.spe,6.41,0.56,0.56,Unit 8,YAN FW,1,20.18,48.79,31.71,32.15,14.305,0.006349206,6.62,1,0.018351,-0.011556,0.00758,0.106728,30092.98633,1.34,0,12,82,8,44,0,145,577,3285,0,2705,151,100,887,133979,122,0,147,152,85,0,51,0,438,2184,0,695,0,0,0,383,649,124,207,204,278,141,0,91,960,747,0,1.21E+15,13754,5127
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000033.spe,6.61,0.58,0.58,Unit 8,YAN FW,1,22.94,52.53,34.84,35.3,14.795,0.006349206,6.62,1,0.018351,-0.011556,0.00758,0.106728,30069.69141,1.41,0,0,80,0,41,0,145,533,3148,0,2770,131,121,831,134365,0,0,299,187,24,0,0,0,352,1965,0,710,0,0,0,235,699,139,235,190,223,177,0,40,961,915,11,3.62E+14,13786,4989
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000034.spe,6.81,0.6,0.6,Unit 8,YAN FW,1,25.74,56.25,37.97,38.45,15.255,0.006349206,6.62,1,0.018351,-0.011556,0.00758,0.106728,30069.98633,1.44,0,0,70,0,41,4,114,578,2893,0,2853,162,102,875,135059,157,0,333,288,45,0,74,0,432,2107,0,528,0,0,38,284,749,137,230,127,176,227,0,113,893,771,4,0,13813,4961
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000035.spe,7.01,0.62,0.62,Unit 8,YAN FW,1,28.54,59.99,41.11,41.6,15.725,0.006369427,6.63,1,0.018351,-0.011556,0.00758,0.106728,30372.87109,1.43,11,20,86,0,25,0,99,581,2939,0,2841,161,75,955,137576,186,0,376,227,21,0,0,0,429,1927,0,650,0,0,0,284,800,115,269,113,109,115,0,62,882,755,18,5.08E+14,13908,5033
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000036.spe,7.21,0.64,0.64,Unit 8,YAN FW,1,31.32,63.73,44.25,44.74,16.205,0.006349206,6.63,1,0.018351,-0.011556,0.00758,0.106728,30240.68359,1.32,0,8,76,0,53,20,126,652,2730,0,2762,169,90,850,137621,394,0,371,192,102,64,77,0,356,1964,0,583,0,0,0,248,688,148,174,122,146,72,94,55,936,655,17,9.36E+14,13732,4891
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000037.spe,7.41,0.66,0.66,Unit 8,YAN FW,1,34.13,67.47,47.4,47.89,16.67,0.006349206,6.63,1,0.018351,-0.011556,0.00758,0.106728,29758.30469,1.37,0,0,82,13,41,16,145,662,2798,5,2621,151,90,887,133668,66,0,389,110,31,0,0,48,482,1903,12,801,0,0,56,308,748,145,257,137,203,239,106,74,822,729,0,0,13670,5061
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000038.spe,7.61,0.68,0.68,Unit 8,YAN FW,1,36.89,71.24,50.53,51.04,17.175,0.006349206,6.63,1,0.018351,-0.011556,0.00758,0.106728,29234.82813,1.36,13,0,47,13,43,0,69,646,2688,0,2783,157,65,843,130057,319,0,297,216,65,0,59,0,455,1933,0,542,0,0,0,302,771,102,225,71,186,93,0,62,951,701,0,0,13692,4913
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000039.spe,7.81,0.7,0.7,Unit 8,YAN FW,1,39.71,74.98,53.66,54.19,17.635,0.006349206,6.63,1,0.018351,-0.011556,0.00758,0.106728,28648.86328,1.52,0,0,70,13,26,0,111,585,2546,0,2646,131,78,764,125669,43,0,331,236,35,96,67,0,329,1806,0,584,0,0,0,291,712,157,182,133,157,42,0,84,807,763,0,0,13614,5176
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000040.spe,8.01,0.72,0.72,Unit 8,YAN FW,1,42.51,78.72,56.78,57.34,18.105,0.006349206,6.64,1,0.018351,-0.011556,0.00758,0.106728,28974.54688,1.46,0,5,72,0,27,0,112,628,2495,0,2545,196,58,837,128114,176,0,234,89,20,0,20,0,377,1981,0,654,0,0,24,318,687,102,239,11,106,147,0,32,707,667,15,0,13551,5168
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000041.spe,8.21,0.74,0.74,Unit 8,YAN FW,1,45.32,82.47,59.91,60.49,18.575,0.006369427,6.64,1,0.018351,-0.011556,0.00758,0.106728,30037.49219,1.5,0,0,86,0,33,0,138,671,2504,12,2633,218,86,802,136524,154,0,268,202,141,0,0,0,443,1817,0,708,0,0,0,299,704,106,201,134,220,217,0,21,848,679,9,0,13515,5013
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000042.spe,8.41,0.76,0.76,Unit 8,YAN FW,1,48.11,86.23,63.03,63.63,19.06,0.006349206,6.64,1,0.018351,-0.011556,0.00758,0.106728,30850.95313,1.48,8,15,71,14,9,0,128,710,2490,0,2720,184,44,965,142308,182,0,331,168,81,0,0,54,459,1863,0,484,0,0,0,294,730,103,224,97,129,186,0,43,1041,744,0,0,13850,4990
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000043.spe,8.61,0.78,0.78,Unit 8,YAN FW,1,50.96,89.92,66.18,66.78,19.48,0.006349206,6.65,1,0.018351,-0.011556,0.00758,0.106728,30611.06445,1.43,0,16,136,8,40,0,125,770,2474,0,2865,217,68,849,139357,402,0,354,193,15,0,109,0,557,1962,0,666,0,0,12,303,702,120,187,170,206,173,0,94,1081,545,0,1.50E+14,13894,5152
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000044.spe,8.81,0.8,0.8,Unit 8,YAN FW,1,53.73,93.66,69.31,69.93,19.965,0.006349206,6.65,1,0.018351,-0.011556,0.00758,0.106728,31059.64063,1.47,5,5,123,8,6,0,123,816,2458,0,2973,178,72,882,142096,286,0,343,220,58,13,22,0,503,1913,0,661,0,0,20,265,737,144,233,123,164,117,0,55,1039,752,0,9.45E+14,13929,5370
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000045.spe,9.01,0.82,0.82,Unit 8,YAN FW,1,56.5,97.4,72.44,73.08,20.45,0.006349206,6.65,1,0.018351,-0.011556,0.00758,0.106728,31152.33594,1.42,0,15,115,0,52,0,146,895,2625,0,2878,212,114,873,143316,95,0,326,177,63,0,0,0,556,1930,0,692,0,0,10,283,696,87,197,123,172,159,28,72,1018,866,0,0,13842,4982
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000046.spe,9.21,0.84,0.84,Unit 8,YAN FW,1,59.26,101.12,75.57,76.23,20.93,0.006369427,6.65,1,0.018351,-0.011556,0.00758,0.106728,31250.43164,1.52,9,23,113,14,36,20,107,809,2451,0,2962,197,69,925,143791,278,0,296,209,22,0,0,0,518,2004,0,604,6,0,16,328,691,173,225,144,121,197,0,139,1059,682,0,1.50E+15,13754,4963
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000047.spe,9.41,0.86,0.86,Unit 8,YAN FW,1,62.09,104.83,78.7,79.37,21.37,0.006349206,6.65,1,0.018351,-0.011556,0.00758,0.106728,31365.72266,1.44,0,0,117,20,39,17,130,829,2304,0,2679,188,117,962,144480,216,0,338,188,130,0,78,68,541,2044,0,699,0,0,41,270,674,23,190,117,155,188,88,17,1139,803,13,1.51E+15,13910,5018
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000048.spe,9.61,0.88,0.88,Unit 8,YAN FW,1,64.88,108.56,81.82,82.52,21.84,0.006349206,6.65,1,0.018351,-0.011556,0.00758,0.106728,31004.14453,1.63,16,13,99,23,60,0,148,862,2399,0,2950,225,69,848,140714,226,0,369,190,104,0,0,0,475,1903,0,683,0,0,0,277,661,99,244,181,149,279,123,100,936,705,15,0,13696,5212
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000049.spe,9.81,0.9,0.9,Unit 8,YAN FW,1,67.63,112.25,84.95,85.67,22.31,0.006349206,6.66,1,0.018351,-0.011556,0.00758,0.106728,30908.84961,1.51,33,28,111,17,63,11,112,796,2473,0,3046,238,59,845,139762,237,0,347,216,28,0,18,0,534,1962,0,697,8,0,0,346,762,151,218,98,211,90,18,184,1018,715,18,0,13997,5065
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000050.spe,10.01,0.92,0.92,Unit 8,YAN FW,1,70.41,115.97,88.07,88.82,22.78,0.006349206,6.66,1,0.018351,-0.011556,0.00758,0.106728,30916.24805,1.46,8,0,110,18,46,0,88,826,2439,0,2767,225,61,804,141004,303,0,300,265,86,0,16,0,573,2006,0,589,0,0,65,304,718,165,224,211,95,166,0,191,1088,714,5,1.06E+15,13428,4989
YAN 8A-I_200um,C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\200 & 100 micron data\YAN 8A-1 200 um\XRF data\L000051.spe,10.21,0.94,0.94,Unit 8,YAN FW,1,73.22,119.7,91.19,91.97,23.24,0.006349206,6.66,1,0.018351,-0.011556,0.00758,0.106728,30828.85352,1.48,4,14,111,22,38,0,125,805,2406,0,2908,189,102,955,140430,164,0,433,201,72,0,32,0,480,1980,74,543,0,0,0,227,697,113,258,117,150,224,16,76,1010,752,0,2.94E+14,13664,5101
